year,month,filings,viz_date
2019,1,2933,2019-01-01
2019,2,2499,2019-02-01
2019,3,2262,2019-03-01
2019,4,2383,2019-04-01
2019,5,2402,2019-05-01
2019,6,2655,2019-06-01
2019,7,2373,2019-07-01
2019,8,2376,2019-08-01
2019,9,2477,2019-09-01
2019,10,2429,2019-10-01
2019,11,2092,2019-11-01
2019,12,2051,2019-12-01
2020,1,2500,2020-01-01
2020,2,2187,2020-02-01
2020,3,518,2020-03-01
2020,4,29,2020-04-01
2020,5,26,2020-05-01
2020,6,98,2020-06-01
2020,7,336,2020-07-01
2020,8,716,2020-08-01
2020,9,915,2020-09-01
2020,10,1783,2020-10-01
2020,11,523,2020-11-01
2020,12,402,2020-12-01
2021,1,583,2021-01-01
2021,2,683,2021-02-01
2021,3,791,2021-03-01
2021,4,931,2021-04-01
2021,5,1406,2021-05-01
2021,6,1416,2021-06-01
2021,7,1189,2021-07-01
2021,8,1092,2021-08-01
2021,9,1240,2021-09-01
2021,10,381,2021-10-01
2021,11,748,2021-11-01
2021,12,569,2021-12-01
2022,1,344,2022-01-01
2022,2,585,2022-02-01
2022,3,1344,2022-03-01
2022,4,1024,2022-04-01
2022,5,1104,2022-05-01
2022,6,1108,2022-06-01
2022,7,1111,2022-07-01
2022,8,1337,2022-08-01
2022,9,1243,2022-09-01
2022,10,1007,2022-10-01
2022,11,739,2022-11-01
2022,12,1196,2022-12-01
2023,1,1223,2023-01-01
2023,2,1110,2023-02-01
2023,3,1817,2023-03-01
2023,4,999,2023-04-01
